"","year","age","maritl","race","education","health","wage_status"
"1",2006,18,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"2",2004,24,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"3",2003,45,"2. Married","1. White","3. Some College","1. <=Good",1
"4",2003,43,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"5",2005,50,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"6",2008,54,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"7",2009,44,"2. Married","4. Other","3. Some College","2. >=Very Good",1
"8",2008,30,"1. Never Married","3. Asian","3. Some College","1. <=Good",1
"9",2006,41,"1. Never Married","2. Black","3. Some College","2. >=Very Good",1
"10",2004,52,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"11",2007,45,"4. Divorced","1. White","3. Some College","1. <=Good",1
"12",2007,34,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"13",2005,35,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"14",2003,39,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"15",2009,54,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"16",2009,51,"2. Married","1. White","3. Some College","2. >=Very Good",0
"17",2003,37,"1. Never Married","3. Asian","4. College Grad","2. >=Very Good",0
"18",2006,50,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"19",2007,56,"2. Married","1. White","4. College Grad","1. <=Good",1
"20",2003,37,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"21",2003,38,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"22",2005,40,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"23",2009,75,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"24",2007,40,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"25",2006,38,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"26",2005,49,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"27",2006,43,"2. Married","1. White","2. HS Grad","1. <=Good",0
"28",2004,34,"2. Married","4. Other","2. HS Grad","1. <=Good",0
"29",2008,57,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"30",2003,18,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"31",2004,55,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"32",2005,51,"2. Married","1. White","3. Some College","2. >=Very Good",1
"33",2008,33,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",0
"34",2005,34,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"35",2006,36,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"36",2003,56,"1. Never Married","1. White","5. Advanced Degree","1. <=Good",0
"37",2006,70,"1. Never Married","1. White","4. College Grad","1. <=Good",0
"38",2004,25,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"39",2006,32,"2. Married","1. White","3. Some College","2. >=Very Good",1
"40",2003,27,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"41",2004,28,"2. Married","3. Asian","4. College Grad","2. >=Very Good",0
"42",2007,27,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"43",2004,43,"1. Never Married","1. White","1. < HS Grad","1. <=Good",0
"44",2005,50,"1. Never Married","4. Other","1. < HS Grad","1. <=Good",0
"45",2004,39,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"46",2008,52,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"47",2009,35,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"48",2007,57,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"49",2006,25,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"50",2006,33,"1. Never Married","1. White","2. HS Grad","1. <=Good",1
"51",2005,57,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"52",2008,71,"2. Married","1. White","3. Some College","2. >=Very Good",1
"53",2004,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"54",2003,23,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"55",2009,30,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
